Gene_Symbol	Gene_Id	Disease_Id	Psychiatric_disorder	Pubmed_Id	Association_Type	Sentence
RASGRP1	10125	C0005586	Bipolar disorders and related disorders	21866111	Association	This study was the first to suggest a possible role of gene expression analysis of ANK3, <span class=gene id=21866111-7-89-96>RASGRP1</span> and POLG1 in the LCLs as potential biomarkers of <span class=disease id=21866111-7-146-148>BD</span>.
DLX1	1745	C0005586	Bipolar disorders and related disorders	12963668	Association	Decreased thalamic expression of <span class=gene id=12963668-10-33-37>DLX1</span> in schizophrenia and <span class=disease id=12963668-10-59-75>bipolar disorder</span> with psychosis suggests shared genetic deficits in expression of this homeobox gene.
S1PR1	1901	C0005586	Bipolar disorders and related disorders	24387768	Association	In particular, our two-stage strategy found association in both our combined case/control analysis and the family-based analysis on 1q21.2 (closest gene: <span class=gene id=24387768-6-154-188>sphingosine-1-phosphate receptor 1</span> gene, <span class=gene id=24387768-6-195-200>S1PR1</span>) and on 1q24.1 near the gene TMCO1, and at CSMD1 on 8p23.2, supporting several previous GWAS reports for <span class=disease id=24387768-6-306-308>BD</span> and for schizophrenia.
HTR4	3360	C0005586	Bipolar disorders and related disorders	12399948	Association	Of these, four polymorphisms at or in close proximity to exon d, g.83097C/T (<span class=gene id=12399948-5-77-81>HTR4</span>-SVR (splice variant region) SNP1), g.83159G/A (<span class=gene id=12399948-5-129-133>HTR4</span>-SVRSNP2), g.83164 (T)9-10 (<span class=gene id=12399948-5-161-165>HTR4</span>-SVRSNP3), and g.83198A/G (<span class=gene id=12399948-5-192-196>HTR4</span>-SVRSNP4), showed significant association with <span class=disease id=12399948-5-243-259>bipolar disorder</span> with odds ratios of 1.5 to 2.
KCNQ2	3785	C1839839	Bipolar disorders and related disorders	16733521	Association	In one of the BD populations, we also found a genetic association between the <span class=gene id=16733521-8-78-83>KCNQ2</span> gene and <span class=disease id=16733521-8-93-95>BD</span>.
KCNQ2	3785	C0005586	Bipolar disorders and related disorders	16733521	Association	In one of the BD populations, we also found a genetic association between the <span class=gene id=16733521-8-78-83>KCNQ2</span> gene and <span class=disease id=16733521-8-93-95>BD</span>.
MIR137	406928	C0005586	Bipolar disorders and related disorders	22982201	Association	The most significant finding mapped to a micro-RNA, <span class=gene id=22982201-2-52-59>MIR-137</span>, which may be involved in regulating the function of other schizophrenia and <span class=disease id=22982201-2-137-153>bipolar disorder</span> susceptibility genes.
MIR137	406928	C0005586	Bipolar disorders and related disorders	25434007	Association	A rare functional noncoding variant at the GWAS-implicated <span class=gene id=25434007-0-59-65>MIR137</span>/MIR2682 locus might confer risk to schizophrenia and <span class=disease id=25434007-0-119-135>bipolar disorder</span>.
NOS3	4846	C0005586	Bipolar disorders and related disorders	15967063	Association	Our results thus suggest that the <span class=gene id=15967063-6-34-41>NOS-III</span> genotype may convey a modest genetic risk to develop <span class=disease id=15967063-6-95-111>bipolar disorder</span>.
OTX2	5015	C0005586	Bipolar disorders and related disorders	17541950	Association	Based on this positive case-control association finding, we conclude that variations in <span class=gene id=17541950-8-88-92>OTX2</span> might confer risk for the development of <span class=disease id=17541950-8-134-150>bipolar disorder</span>.
